name,ticker,market,sector
Panache Digilife Ltd.,PANACHE,NSE,Electronic technology
Panasonic Energy India Co. Ltd.,PANAENERG,BSE,Producer manufacturing
Panafic Industrials Ltd,PANAFIC,BSE,Finance
Panama Petrochem Limited,PANAMAPET,NSE,Process industries
Panasonic Carbon India Co. Limited,PANCARBON,BSE,Producer manufacturing
Panchmahal Steel Ltd,PANCHMAHQ,BSE,Non-energy minerals
Panchsheel Organics Limited,PANCHSHEEL,BSE,Health technology
Panyam Cements & Mineral Industries Ltd.,PANCM,BSE,Non-energy minerals
Pan Electronics (India) Limited,PANELEC,BSE,Electronic technology
Panther Industrial Products Ltd,PANIDPR,BSE,Distribution services
Pan India Corporation Ltd,PANINDIAC,BSE,Finance
Panjon Ltd,PANJON,BSE,Health technology
Pankaj Polymers Limited,PANKAJPO,BSE,Producer manufacturing
Panorama Studios International Ltd,PANORAMA,BSE,Retail trade
Pansari Developers Ltd.,PANSARI,NSE,Technology services
Panth Infinity Limited,PANTH,BSE,Distribution services
PAOS Industries Limited,PAOS,BSE,Consumer non-durables
Par Drugs and Chemicals Limited,PAR,NSE,Process industries
Paramount Communications Limited,PARACABLES,NSE,Producer manufacturing
Paradeep Phosphates Ltd.,PARADEEP,NSE,Process industries
Parag Milk Foods Ltd.,PARAGMILK,NSE,Consumer non-durables
Paragon Fine And Speciality Chemical Limited,PARAGON,NSE,Process industries
Paragon Finance Ltd,PARAGONF,BSE,Finance
